song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
I Heard It Through The Grapevine,1969-01-04,Marvin Gaye,1,1.0,1,7,d220d3ea-9daf-4319-b6e2-f5a7d925c8ef,not_danceable,roc,male,aggressive,instrumental,112.304664612,F,0.939077019691,not_happy
For Once In My Life,1969-01-04,Stevie Wonder,2,2.0,2,10,250e218e-4a6d-449c-89c8-5ba9bf0da6ad,danceable,jaz,female,aggressive,voice,109.589004517,A#,0.78351777792,happy
I'm Gonna Make You Love Me,1969-01-04,Diana Ross And The Supremes & The Temptations,3,7.0,3,5,aa2b2c2d-60c4-4444-b880-0a21aced37df,,,,,,,,,
Soulful Strut,1969-01-04,Young-Holt Unlimited,4,16.0,4,6,8bd0e16b-aefd-4c7b-abd8-c98e1677b01c,,,,,,,,,
Wichita Lineman,1969-01-04,Glen Campbell,5,4.0,4,10,44e5ab8d-d9c9-4ea1-b414-35daf627692b,,,,,,,,,
Cloud Nine,1969-01-04,The Temptations,6,10.0,6,8,a236ad0b-f1f0-437e-aaed-7df445eb23fe,not_danceable,pop,male,not_aggressive,voice,119.492027283,D,0.698204278946,happy
Love Child,1969-01-04,Diana Ross & The Supremes,7,3.0,1,12,34134c0d-ae64-4329-81d8-b86155a574d8,,,,,,,,,
Who's Making Love,1969-01-04,Johnnie Taylor,9,8.0,5,11,b1667740-7a60-4067-a656-d6d56b3352e0,,,,,,,,,
Hooked On A Feeling,1969-01-04,B.J. Thomas,10,13.0,10,8,5513860b-56fc-44a9-8021-e21850101151,,,,,,,,,
I Love How You Love Me,1969-01-04,Bobby Vinton,11,9.0,9,10,40bae581-2dd1-42f7-bc8f-4d245794ba96,,,,,,,,,
Cinnamon,1969-01-04,Derek,12,12.0,12,11,8a219f88-6b7a-4cc8-8234-68b3874420b7,,,,,,,,,
"Abraham, Martin And John",1969-01-04,Dion,16,6.0,4,11,0d6cb0fb-46db-4ce0-9778-26af42071a40,not_danceable,rhy,male,not_aggressive,voice,147.162033081,E,0.639060556889,happy
Crimson And Clover,1969-01-04,Tommy James And The Shondells,17,28.0,17,4,38812525-a9ab-4660-b6f5-7e34cd57af16,,,,,,,,,
Son-Of-A Preacher Man,1969-01-04,Dusty Springfield,18,21.0,18,6,f5ac67b4-2e37-4718-b40e-c49fc6cdb2b5,not_danceable,pop,male,not_aggressive,voice,94.3085098267,A,0.865140318871,happy
Bring It On Home To Me,1969-01-04,Eddie Floyd,19,17.0,17,12,dfc73658-c22e-4089-9166-5f799e24bee8,,,,,,,,,
See Saw,1969-01-04,Aretha Franklin,20,14.0,14,7,b14e8bbe-66b5-4084-aee2-44322c2fb607,,,,,,,,,
Papa's Got A Brand New Bag,1969-01-04,Otis Redding,21,24.0,21,6,f0a106bb-668b-4d8e-8b2b-c1de20ada3f6,danceable,hip,male,not_aggressive,voice,131.56489563,D#,0.880888938904,happy
Both Sides Now,1969-01-04,Judy Collins,22,11.0,8,9,eb538d67-2756-422c-84fe-7d6bfe9406a2,,,,,,,,,
Hey Jude,1969-01-04,The Beatles,23,15.0,1,17,8ab055d0-015c-41d7-8370-0ab958edbd52,,,,,,,,,
Magic Carpet Ride,1969-01-04,Steppenwolf,24,18.0,3,14,7cb902f6-92f5-4e73-810b-f5fce3b24187,,,,,,,,,
This Is My Country,1969-01-04,The Impressions,25,38.0,25,6,4919c5e5-185d-4aed-96c1-12dcbe59c59d,,,,,,,,,
If I Can Dream,1969-01-04,Elvis Presley,26,30.0,26,6,8a85521f-d952-46ea-8b7e-a6a0548a105e,,,,,,,,,
Everyday People,1969-01-04,Sly & The Family Stone,27,42.0,27,6,ecc132a8-1023-4105-a107-2aba9dbe3369,,,,,,,,,
Hey Jude,1969-01-04,Wilson Pickett,28,43.0,28,3,5ec5289a-903b-4724-b822-54a074c37380,,,,,,,,,
Can I Change My Mind,1969-01-04,Tyrone Davis,29,66.0,29,3,1deceddf-47cd-465c-98fc-9846f8df7c47,,,,,,,,,
Scarborough Fair,1969-01-04,Sergio Mendes & Brasil '66,30,27.0,16,8,80b58ec6-7b9d-4a13-8cad-74198ef829c4,,,,,,,,,
A Ray Of Hope,1969-01-04,The Rascals,32,32.0,32,5,3adee984-3958-4e03-b0db-2ce0bacafccb,,,,,,,,,
Stand By Your Man,1969-01-04,Tammy Wynette,33,34.0,33,9,e3bafffa-d74a-4781-9911-13d96d6e8c32,,,,,,,,,
Hang 'Em High,1969-01-04,Booker T. & The MG's,34,40.0,34,9,fd7c5062-d369-46d2-a0e1-febe4b477c0e,,,,,,,,,
There's Gonna Be A Showdown,1969-01-04,Archie Bell & The Drells,35,49.0,35,4,617db5ad-ef5a-4508-b7b5-1aba149a99c2,,,,,,,,,
Chewy Chewy,1969-01-04,Ohio Express,36,19.0,15,12,dd7ff2b6-d733-4c63-9b7e-79aebdebeb29,not_danceable,hip,female,not_aggressive,instrumental,120.821586609,F,0.937084376812,happy
Touch Me,1969-01-04,The Doors,37,72.0,37,2,7d0b3e3e-c6b9-4175-9325-628b27763fbd,,,,,,,,,
Worst That Could Happen,1969-01-04,Brooklyn Bridge,38,53.0,38,3,ea4b14dd-f035-4a0a-9bc0-f31e3ec09400,,,,,,,,,
Baby Let's Wait,1969-01-04,The Royal Guardsmen,39,48.0,39,8,5fe1966b-b9cc-4269-abe8-27f2f017b5be,not_danceable,cla,female,not_aggressive,voice,164.487854004,E,0.875529110432,happy
I Started A Joke,1969-01-04,Bee Gees,40,41.0,40,3,0692067b-99d4-428a-ae6d-6c4b866b93c1,,,,,,,,,
Battle Hymn Of The Republic,1969-01-04,Andy Williams with the St. Charles Borromeo Choir,41,33.0,33,12,37ec4818-73b0-44fc-8e1c-8cae1c0bf73b,,,,,,,,,
Bella Linda,1969-01-04,The Grass Roots,42,46.0,42,6,caaa9356-f5d9-4cc5-a62c-1b9ef6d071c6,,,,,,,,,
Are You Happy,1969-01-04,Jerry Butler,43,57.0,43,5,0784925d-d220-4ed7-8da9-d4375ac61c7f,not_danceable,pop,male,not_aggressive,voice,162.225158691,G,0.725296616554,not_happy
Ready Or Not Here I Come (Can't Hide From Love),1969-01-04,The Delfonics,44,50.0,44,5,e5f7a88d-8dcf-4638-a710-98e8f16411eb,,,,,,,,,
Little Arrows,1969-01-04,Leapy Lee,45,22.0,16,13,7a4b70ca-bdaf-4e07-9f5a-bb708c9d559c,,,,,,,,,
My Favorite Things,1969-01-04,Herb Alpert & The Tijuana Brass,46,47.0,46,4,d9f138cc-9ff7-45db-86c2-13f5cf4c51b9,,,,,,,,,
People,1969-01-04,The Tymes,49,39.0,39,8,a06acd6a-ba95-44b1-b87a-de227ce7627d,,,,,,,,,
I Can't Turn You Loose,1969-01-04,The Chambers Brothers,50,37.0,37,7,66620608-cc92-4521-897e-f271cca63068,,,,,,,,,
The Beginning Of My End,1969-01-04,The Unifics,51,71.0,51,4,77f88bf2-f60e-42ca-a50d-ccbc12649e2c,,,,,,,,,
Put Your Head On My Shoulder,1969-01-04,The Lettermen,52,44.0,44,8,37a56798-dbf7-41ba-897c-f08cec5d1925,not_danceable,pop,male,not_aggressive,voice,76.0543365479,F,0.69592577219,not_happy
"Baby, Baby Don't Cry",1969-01-04,Smokey Robinson & The Miracles,53,,53,1,4c9b9516-d55a-45cc-a168-214a5791b4b3,,,,,,,,,
California Dreamin',1969-01-04,Bobby Womack,54,69.0,54,5,dd918597-6e9a-4f60-8a19-845a67d41d87,,,,,,,,,
The Girl Most Likely,1969-01-04,Jeannie C. Riley,55,55.0,55,5,8e5fe2ee-799e-402d-8285-b14671e63224,,,,,,,,,
Crosstown Traffic,1969-01-04,The Jimi Hendrix Experience,56,56.0,52,6,b5aa87fa-f164-465f-bc0d-ce7ecd5ec1fd,,,,,,,,,
California Soul,1969-01-04,The 5th Dimension,57,62.0,57,3,4211de9d-96c3-45f2-ac14-5d49879286c0,,,,,,,,,
"Soul Sister, Brown Sugar",1969-01-04,Sam & Dave,59,70.0,59,3,d2f2e9b8-b28f-4002-8c41-feae247745b5,,,,,,,,,
Daddy Sang Bass,1969-01-04,Johnny Cash,60,64.0,60,2,e6d071f6-7f57-41bb-b710-fe6715033829,,,,,,,,,
Bluebirds Over The Mountain,1969-01-04,The Beach Boys,61,61.0,61,4,de43f298-8cae-4c59-a0f6-d7a43423ac41,,,,,,,,,
"Shame, Shame",1969-01-04,Magic Lanterns,62,29.0,29,11,427f8034-b1f5-4c28-9644-d90ef9c62083,,,,,,,,,
Isn't It Lonely Together,1969-01-04,O.C. Smith,63,63.0,63,4,bb88086c-5cb4-4512-98dd-f19ae5a55025,,,,,,,,,
Just Ain't No Love,1969-01-04,Barbara Acklin,67,68.0,67,8,8f3b5f67-568b-4757-b95b-5974fba8657d,not_danceable,pop,female,not_aggressive,voice,119.087539673,G,0.78825122118,happy
A Minute Of Your Time,1969-01-04,Tom Jones,68,73.0,68,3,9f5df474-50a9-472d-9db1-4ee5db248902,,,,,,,,,
American Boys,1969-01-04,Petula Clark,69,59.0,59,7,9ea1ed30-e8dc-4870-8ef3-65873fa40362,,,,,,,,,
"Season Of The Witch, Pt. 1",1969-01-04,Vanilla Fudge,70,65.0,65,3,2f14164a-8d17-4144-bdd0-1d75ed4e8235,,,,,,,,,
White Houses,1969-01-04,Eric Burdon & The Animals,71,67.0,67,7,3579f3f5-255a-4096-8695-f16e19efd8f3,not_danceable,rhy,male,not_aggressive,voice,162.486251831,D,0.903953492641,not_happy
You Got Soul,1969-01-04,Johnny Nash,72,81.0,72,4,c06609dd-71c6-42db-9aea-3ab17d84b0f3,not_danceable,rhy,female,not_aggressive,voice,,,,happy
Rainbow Ride,1969-01-04,Andy Kim,73,84.0,73,3,9bce7702-88ea-46c5-bc7e-fdd28c757c9f,danceable,roc,male,not_aggressive,voice,99.9254379272,C#,0.897945523262,happy
Condition Red,1969-01-04,The Goodees,74,97.0,74,3,efd1204c-18fe-4bb1-ac6e-2e1c0d9e9805,danceable,rhy,female,not_aggressive,instrumental,143.064147949,F,0.743935227394,happy
Not On The Outside,1969-01-04,The Moments,75,85.0,75,2,93ace5b7-71cb-4cc2-b8e5-91ac9358dd7e,not_danceable,rhy,female,not_aggressive,voice,151.411621094,D,0.533690452576,not_happy
Chitty Chitty Bang Bang,1969-01-04,Paul Mauriat,76,78.0,76,7,3c15ce9d-131b-46cb-a8f8-3916746d6094,,,,,,,,,
Feelin' So Good (S.k.o.o.b.y-D.o.o),1969-01-04,The Archies,78,88.0,78,2,96d2b0bb-be34-494d-8fb3-73317af35c76,,,,,,,,,
This Magic Moment,1969-01-04,Jay & The Americans,79,90.0,79,2,8b142fe2-71d4-42be-87a5-59e33aeedfc8,,,,,,,,,
Vance,1969-01-04,Roger Miller,80,80.0,80,5,f2f39761-1f1b-42cb-b950-28e74af8cb5a,,,,,,,,,
I Forgot To Be Your Lover,1969-01-04,William Bell,81,,81,1,d47b1870-2e55-4d4c-bf70-fadb040efffe,,,,,,,,,
Tit For Tat (Ain't No Taking Back),1969-01-04,James Brown,86,86.0,86,3,b90f2e6a-5523-441c-b74f-22454fe132ae,not_danceable,rhy,male,not_aggressive,voice,131.891281128,D,0.855616986752,happy
"Ob-La-Di, Ob-La-Da",1969-01-04,Arthur Conley,88,,88,1,7192764c-cc2b-44bf-85a6-9ab552e574aa,not_danceable,roc,male,not_aggressive,voice,122.326263428,G,0.974603712559,happy
She's A Lady,1969-01-04,John Sebastian,89,,89,1,55594ec6-493b-4a07-830b-79b599bccef1,,,,,,,,,
You Showed Me,1969-01-04,The Turtles,90,,90,1,310407db-f336-4014-8608-fdeab3e172f9,,,,,,,,,
Eloise,1969-01-04,Barry Ryan,91,92.0,91,2,2edb8468-f2b6-4552-a19d-7a98a616e7bf,,,,,,,,,
You've Got The Power,1969-01-04,The Esquires,93,93.0,93,2,d306fe29-ce10-4a99-a01f-1da7789d5247,,,,,,,,,
Looking Back,1969-01-04,Joe Simon,94,,91,3,18fff3be-5fe6-4edd-95ab-127a5eaa0ed5,,,,,,,,,
The Thought Of Loving You,1969-01-04,The Crystal Mansion,95,95.0,95,3,b5dc98e1-27bc-4ca5-9243-aaa4921ea511,,,,,,,,,
Things I'd Like To Say,1969-01-04,New Colony Six,96,100.0,96,2,3879d29c-2eb3-41ce-aecd-f44e5ad0e59b,,,,,,,,,
I Can't Help It (If I'm Still In Love With You),1969-01-04,Al Martino,97,99.0,97,2,6486ef1e-54e9-4eac-b263-8de6bd5deb33,not_danceable,rhy,male,not_aggressive,voice,95.6112289429,A#,0.805548071861,not_happy
Ain't Got No; I Got Life,1969-01-04,Nina Simone,99,,99,1,7a911f4b-3dd8-42fe-9811-10bd70bb93b2,,,,,,,,,
Goodnight My Love,1969-01-04,Paul Anka,100,,100,1,87e2dbdb-7e79-4e16-9651-9eec711536dc,,,,,,,,,
Hooked On A Feeling,1969-01-11,B.J. Thomas,5,10.0,5,9,22eca4d1-0656-41a6-96fa-84b399adca70,danceable,rhy,male,not_aggressive,voice,126.982086182,G#,0.920694410801,happy
Cloud Nine,1969-01-11,The Temptations,6,6.0,6,9,a236ad0b-f1f0-437e-aaed-7df445eb23fe,not_danceable,pop,male,not_aggressive,voice,119.492027283,D,0.698204278946,happy
For Once In My Life,1969-01-11,Stevie Wonder,7,2.0,2,11,250e218e-4a6d-449c-89c8-5ba9bf0da6ad,danceable,jaz,female,aggressive,voice,109.589004517,A#,0.78351777792,happy
Crimson And Clover,1969-01-11,Tommy James And The Shondells,8,17.0,8,5,38812525-a9ab-4660-b6f5-7e34cd57af16,,,,,,,,,
Love Child,1969-01-11,Diana Ross & The Supremes,9,7.0,1,13,2b8157a7-4407-477a-bf2d-305552380236,,,,,,,,,
I Love How You Love Me,1969-01-11,Bobby Vinton,10,11.0,9,11,0d37948f-2c4b-490d-b65d-ce77f1585285,not_danceable,pop,male,not_aggressive,voice,152.832504272,A#,0.77354490757,happy
Cinnamon,1969-01-11,Derek,11,12.0,11,12,8a219f88-6b7a-4cc8-8234-68b3874420b7,,,,,,,,,
Going Up The Country,1969-01-11,Canned Heat,12,15.0,12,6,47fc1445-1679-427f-a092-0ad000b48565,not_danceable,rhy,female,not_aggressive,voice,151.813476563,A#,0.920762360096,happy
Son-Of-A Preacher Man,1969-01-11,Dusty Springfield,13,18.0,13,7,a88b2cf1-4edd-4b03-b689-0dc5a2b872ce,,,,,,,,,
Lo Mucho Que Te Quiero (The More I Love You),1969-01-11,Rene & Rene,14,14.0,14,8,419f5748-4269-4e60-bd0e-ca736cdd2e52,,,,,,,,,
"Abraham, Martin And John",1969-01-11,Dion,16,16.0,4,12,0d6cb0fb-46db-4ce0-9778-26af42071a40,not_danceable,rhy,male,not_aggressive,voice,147.162033081,E,0.639060556889,happy
If I Can Dream,1969-01-11,Elvis Presley,17,26.0,17,7,1bfc7aff-1d57-44e4-b15c-2236b704645f,not_danceable,pop,male,not_aggressive,voice,191.406417847,C,0.768338382244,not_happy
Touch Me,1969-01-11,The Doors,18,37.0,18,3,7d0b3e3e-c6b9-4175-9325-628b27763fbd,,,,,,,,,
I Started A Joke,1969-01-11,Bee Gees,19,40.0,19,4,0692067b-99d4-428a-ae6d-6c4b866b93c1,,,,,,,,,
Worst That Could Happen,1969-01-11,Brooklyn Bridge,23,38.0,23,4,ea4b14dd-f035-4a0a-9bc0-f31e3ec09400,,,,,,,,,
A Ray Of Hope,1969-01-11,The Rascals,24,32.0,24,6,35be801e-ad5d-4d2f-8c24-8e67cbea7507,not_danceable,roc,male,not_aggressive,voice,103.522621155,C,0.929937303066,not_happy
This Is My Country,1969-01-11,The Impressions,25,25.0,25,7,4919c5e5-185d-4aed-96c1-12dcbe59c59d,,,,,,,,,
Everyday People,1969-01-11,Sly & The Family Stone,26,27.0,26,7,ecc132a8-1023-4105-a107-2aba9dbe3369,,,,,,,,,
Hey Jude,1969-01-11,Wilson Pickett,27,28.0,27,4,a1c9dd97-c627-4ac7-97c9-0d1c331ea8a0,,,,,,,,,
Can I Change My Mind,1969-01-11,Tyrone Davis,28,29.0,28,4,1deceddf-47cd-465c-98fc-9846f8df7c47,,,,,,,,,
Magic Carpet Ride,1969-01-11,Steppenwolf,29,24.0,3,15,7cb902f6-92f5-4e73-810b-f5fce3b24187,,,,,,,,,
Hey Jude,1969-01-11,The Beatles,30,23.0,1,18,8ab055d0-015c-41d7-8370-0ab958edbd52,,,,,,,,,
Hang 'Em High,1969-01-11,Booker T. & The MG's,31,34.0,31,10,fd7c5062-d369-46d2-a0e1-febe4b477c0e,,,,,,,,,
Scarborough Fair,1969-01-11,Sergio Mendes & Brasil '66,32,30.0,16,9,80b58ec6-7b9d-4a13-8cad-74198ef829c4,,,,,,,,,
Stand By Your Man,1969-01-11,Tammy Wynette,33,33.0,33,10,c843899a-7996-4e9f-9df4-7c2ccf1a24e3,,,,,,,,,
California Soul,1969-01-11,The 5th Dimension,34,57.0,34,4,4211de9d-96c3-45f2-ac14-5d49879286c0,,,,,,,,,
There's Gonna Be A Showdown,1969-01-11,Archie Bell & The Drells,35,35.0,35,5,617db5ad-ef5a-4508-b7b5-1aba149a99c2,,,,,,,,,
See Saw,1969-01-11,Aretha Franklin,36,20.0,14,8,b467d117-bd98-46a0-99f9-619829af3f60,,,,,,,,,
Papa's Got A Brand New Bag,1969-01-11,Otis Redding,37,21.0,21,7,45d0c214-ced4-43de-a93d-bb3030312aff,danceable,hip,male,not_aggressive,voice,131.345916748,D#,0.807315886021,happy
Ready Or Not Here I Come (Can't Hide From Love),1969-01-11,The Delfonics,43,44.0,43,6,e5f7a88d-8dcf-4638-a710-98e8f16411eb,,,,,,,,,
Battle Hymn Of The Republic,1969-01-11,Andy Williams with the St. Charles Borromeo Choir,44,41.0,33,13,9cc6128f-1584-4872-82ae-2d14872016e6,,,,,,,,,
My Favorite Things,1969-01-11,Herb Alpert & The Tijuana Brass,45,46.0,45,5,d9f138cc-9ff7-45db-86c2-13f5cf4c51b9,,,,,,,,,
I've Gotta Be Me,1969-01-11,Sammy Davis Jr.,46,47.0,46,5,bdf63dc8-6777-4feb-9d0c-3d640ade18bb,,,,,,,,,
"Baby, Baby Don't Cry",1969-01-11,Smokey Robinson & The Miracles,47,53.0,47,2,4c9b9516-d55a-45cc-a168-214a5791b4b3,,,,,,,,,
Build Me Up Buttercup,1969-01-11,The Foundations,48,84.0,48,2,22add27b-0493-4513-8196-62573e36966b,danceable,rhy,male,not_aggressive,voice,134.653915405,C,0.926472902298,happy
Chewy Chewy,1969-01-11,Ohio Express,49,36.0,15,13,3d75a372-2874-4a20-8737-027650571a70,,,,,,,,,
Little Arrows,1969-01-11,Leapy Lee,50,45.0,16,14,7a4b70ca-bdaf-4e07-9f5a-bb708c9d559c,,,,,,,,,
The Beginning Of My End,1969-01-11,The Unifics,51,51.0,51,5,6956371f-1796-4928-b506-f3f257a2dc36,,,,,,,,,
California Dreamin',1969-01-11,Bobby Womack,52,54.0,52,6,f995fcf8-1a16-4d1b-b7cb-ed81357c5cab,,,,,,,,,
Crosstown Traffic,1969-01-11,The Jimi Hendrix Experience,53,56.0,52,7,71f3b824-fc25-4d54-9f45-bcf935e736be,not_danceable,roc,female,not_aggressive,instrumental,113.290603638,D#,0.943974435329,happy
Ramblin' Gamblin' Man,1969-01-11,Bob Seger System,54,65.0,54,4,672f64d6-3975-4486-812a-20880cbfbef1,,,,,,,,,
