song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid
Breathin,2019-01-05,Ariana Grande,22,19,12,19,8d04d497-84b3-4a5b-85a1-46948e7f5f72
Better Now,2019-01-05,Post Malone,23,21,3,35,f4ff2903-27db-47ff-937d-d05bfdbf471f
Youngblood,2019-01-05,5 Seconds Of Summer,24,20,7,30,8c699381-20d8-44da-916f-fdbc009fe6cd
Last Christmas,2019-01-05,Wham!,25,27,25,9,09284f8a-51af-4727-b672-2e9ab3b1f869
Sleigh Ride,2019-01-05,The Ronettes,26,33,26,3,dd624765-1231-4bcd-82e5-f12decdb0ef9
Lucid Dreams,2019-01-05,Juice WRLD,27,23,2,33,a31f849d-af28-48e8-a6e1-ecb7c9faea3b
Here Comes Santa Claus (Right Down Santa Claus Lane),2019-01-05,Gene Autry,28,35,28,3,946361d4-390f-46a3-8348-581f335736c2
Feliz Navidad,2019-01-05,Jose Feliciano,29,34,29,5,e1da36b4-58aa-40c0-8489-686af9a18753
Leave Me Alone,2019-01-05,Flipp Dinero,33,31,27,15,473f3033-87c5-49db-83df-b751cbb6108d
Trip,2019-01-05,Ella Mai,38,29,11,21,6b16cc43-7752-4eb3-ad55-fc04505f4b34
I Like It,2019-01-05,"Cardi B, Bad Bunny & J Balvin",39,40,1,38,93951877-d1ad-4ebd-a41a-3d818d237cca
Blue Christmas,2019-01-05,Elvis Presley,40,,40,1,42658acc-a332-4d3c-8b58-d3beaf705307
Speechless,2019-01-05,Dan + Shay,41,36,33,16,7230a157-87d2-4242-868a-9b1d3253e392
Christmas (Baby Please Come Home),2019-01-05,Darlene Love,43,50,43,2,a7a13f6a-84ac-4d7c-aa16-625c35505185
Underneath The Tree,2019-01-05,Kelly Clarkson,44,,44,4,1e62185e-2731-4da4-930a-a5817962ff19
Run Rudolph Run,2019-01-05,Chuck Berry,45,,45,4,7a671fb6-afa4-4f21-8632-ae976f8c5bbc
Natural,2019-01-05,Imagine Dragons,46,43,13,23,7347472e-a25b-4c4a-8317-f5f9c5e998d1
Wow.,2019-01-05,Post Malone,47,,47,1,112ff70c-7e9a-46df-9235-e82939575ad0
Love Lies,2019-01-05,Khalid & Normani,48,37,9,45,d8e58929-5da8-4361-94c5-a796c63f1ab6
Jingle Bells,2019-01-05,Frank Sinatra,49,,49,1,bbe095da-8636-4d9a-a0c4-1396ecb309f5
Better,2019-01-05,Khalid,51,39,29,15,ba73118f-7c13-43f6-933c-9f048fe8c01f
Shallow,2019-01-05,Lady Gaga & Bradley Cooper,52,44,5,13,31efbe4d-0e4c-47a4-9a77-a7e5ad0588f4
Uproar,2019-01-05,Lil Wayne,56,49,7,13,630854cf-741a-4b68-bc9d-c648862b4180
Can't Leave Without It,2019-01-05,21 Savage,58,,58,1,3f77e7e3-5537-4c8a-999c-7bd7fedb3391
You Say,2019-01-05,Lauren Daigle,59,59,44,24,e8128e69-1c24-4e0f-8e31-6a4087299ba4
Best Shot,2019-01-05,Jimmie Allen,61,55,46,15,bd5556f5-4329-4c48-90a5-03c1247dcb55
Be Alright,2019-01-05,Dean Lewis,63,63,63,9,bc664cd2-c985-4d20-85a2-31872a09e170
Drunk Me,2019-01-05,Mitchell Tenpenny,64,54,53,20,b6dbd9a2-8d8d-4ff8-80ac-5ac387889ba1
Look Back At It,2019-01-05,A Boogie Wit da Hoodie,66,96,66,3,d220bc4a-dcb3-4711-a16f-0bbb0d37f354
All My Friends,2019-01-05,21 Savage,67,,67,1,a677841e-8b92-4ed9-92fa-b67e50f9422c
BAD!,2019-01-05,XXXTENTACION,68,52,16,7,d5ddede3-e821-4a77-aecf-e51794a76366
Backin' It Up,2019-01-05,Pardison Fontaine Featuring Cardi B,69,64,64,11,7a699244-9155-4d98-96f5-5363209e0f7b
Break Da Law,2019-01-05,21 Savage,70,,70,1,50e39a3a-1c30-4458-be7f-5b22bfe5b89f
Consequences,2019-01-05,Camila Cabello,75,69,69,8,41bb57b5-9386-41c9-ba42-b2b599c4e32b
Armed And Dangerous,2019-01-05,Juice WRLD,76,60,44,7,80cbf2b8-3a77-40c9-9f3f-95010bbb6ff3
Sixteen,2019-01-05,Thomas Rhett,79,67,67,7,4ac01c59-c53e-433e-8908-ef536a0a97ec
Beautiful Crazy,2019-01-05,Luke Combs,81,81,58,7,3b1894a2-7988-48fa-91d4-ae036272ef38
When The Party's Over,2019-01-05,Billie Eilish,82,77,52,10,fe265667-ad88-4e84-baff-721a4aaa6f8f
Sweet But Psycho,2019-01-05,Ava Max,83,87,83,2,f9b48b9e-fee4-4bff-8b50-646aca297b80
You,2019-01-05,Jacquees,85,75,75,5,38529de4-4b7d-4145-9047-3b2235e253b4
1.5,2019-01-05,21 Savage,86,,86,1,c6fc818a-b0a5-44db-80ad-9d0c8629c996
Girl Like You,2019-01-05,Jason Aldean,87,71,71,5,33d698bb-382f-48ef-8938-6e8f3af45fd8
Out For The Night,2019-01-05,21 Savage,88,,88,1,203417b4-4b1f-4d40-b181-05ba91533157
Good Girl,2019-01-05,Dustin Lynch,89,72,72,7,98a1da94-13d9-4bcc-a0bd-820f9598b584
ASMR,2019-01-05,21 Savage,95,,95,1,255b4034-66b2-45ed-9494-6020634e5048
Last Shot,2019-01-05,Kip Moore,96,78,78,6,a25bedd9-1be6-4cb1-b4ff-ea0f2006df06
Fine China,2019-01-05,Future & Juice WRLD,97,82,26,10,69841c73-2b3a-479a-bcf8-bae97cc631ae
Envy Me,2019-01-05,Calboy,98,91,91,2,fe1d5d7a-0697-4a51-8f5e-1ea68b03dc4d
This Is It,2019-01-05,Scotty McCreery,100,84,84,3,aec07661-9222-464f-9563-99611a159ae8
Without Me,2019-01-12,Halsey,1,2,1,13,888bb953-61ed-45e8-9c4f-33c3346dc16f
"Thank U, Next",2019-01-12,Ariana Grande,2,1,1,9,e360a29c-bd6a-4a5c-8d11-fe9cf56ec22f
Sunflower (Spider-Man: Into The Spider-Verse),2019-01-12,Post Malone & Swae Lee,3,5,3,11,b6df9d04-2303-4ec7-a416-367b06a026cb
Sicko Mode,2019-01-12,Travis Scott,4,4,1,22,b7326a80-8332-4ee0-8238-d6737efba347
High Hopes,2019-01-12,Panic! At The Disco,5,6,5,22,f3e9f6f4-130c-420f-b90e-aa1bad4263b5
Happier,2019-01-12,Marshmello & Bastille,6,7,3,20,623b7611-08d9-4115-acd6-69f734dd3f24
Drip Too Hard,2019-01-12,Lil Baby & Gunna,8,12,4,16,f65108f7-c7ea-4c86-be42-fff229d8cbfb
Wow.,2019-01-12,Post Malone,13,47,13,2,112ff70c-7e9a-46df-9235-e82939575ad0
Youngblood,2019-01-12,5 Seconds Of Summer,14,24,7,31,8c699381-20d8-44da-916f-fdbc009fe6cd
Mo Bamba,2019-01-12,Sheck Wes,15,17,6,19,25dfa760-3eed-4fdf-9f57-23c3d3a78f4e
Breathin,2019-01-12,Ariana Grande,16,22,12,20,ebbda164-fca5-476b-ad1a-26083d64ecf2
Money,2019-01-12,Cardi B,17,19,13,11,edef2393-fc95-4644-9f4c-52e6016ceb88
Lucid Dreams,2019-01-12,Juice WRLD,18,27,2,34,f7f36033-0902-460f-8416-52b1e62f66ce
Leave Me Alone,2019-01-12,Flipp Dinero,22,33,22,16,473f3033-87c5-49db-83df-b751cbb6108d
Trip,2019-01-12,Ella Mai,23,38,11,22,6b16cc43-7752-4eb3-ad55-fc04505f4b34
Speechless,2019-01-12,Dan + Shay,24,41,24,17,7230a157-87d2-4242-868a-9b1d3253e392
Natural,2019-01-12,Imagine Dragons,25,46,13,24,f2cde891-c5e7-4579-b2ea-35382d8588a2
I Like It,2019-01-12,"Cardi B, Bad Bunny & J Balvin",26,39,1,39,93951877-d1ad-4ebd-a41a-3d818d237cca
She Got The Best Of Me ,2019-01-12,Luke Combs,31,54,31,21,52c2f1cc-1dc0-4411-bc51-a21fe3b8a88c
Baby Shark,2019-01-12,Pinkfong,32,,32,1,4d19d9d5-9174-4037-9dec-21b6c2cbcbb9
You Say,2019-01-12,Lauren Daigle,34,59,34,25,e8128e69-1c24-4e0f-8e31-6a4087299ba4
Uproar,2019-01-12,Lil Wayne,35,56,7,14,630854cf-741a-4b68-bc9d-c648862b4180
A Lot,2019-01-12,21 Savage,36,37,36,2,401f7e9c-dede-4aea-a7f3-4a85456bc268
Best Shot,2019-01-12,Jimmie Allen,37,61,37,16,1e933b5d-6956-4cb4-9973-03edc2f72356
Drunk Me,2019-01-12,Mitchell Tenpenny,39,64,39,21,b6dbd9a2-8d8d-4ff8-80ac-5ac387889ba1
Be Alright,2019-01-12,Dean Lewis,40,63,40,10,08467bce-dc5d-43f5-b591-fe3ecf1b956c
Sweet But Psycho,2019-01-12,Ava Max,41,83,41,3,f9b48b9e-fee4-4bff-8b50-646aca297b80
Sixteen,2019-01-12,Thomas Rhett,42,79,42,8,4ac01c59-c53e-433e-8908-ef536a0a97ec
Talk To Me,2019-01-12,Tory Lanez & Rich The Kid,43,72,43,10,d8fc566e-659f-46ad-b177-436229cc86ca
Backin' It Up,2019-01-12,Pardison Fontaine Featuring Cardi B,44,69,44,12,7a699244-9155-4d98-96f5-5363209e0f7b
Consequences,2019-01-12,Camila Cabello,51,75,51,9,41bb57b5-9386-41c9-ba42-b2b599c4e32b
Girl Like You,2019-01-12,Jason Aldean,52,87,52,6,33d698bb-382f-48ef-8938-6e8f3af45fd8
Last Shot,2019-01-12,Kip Moore,53,96,53,7,a25bedd9-1be6-4cb1-b4ff-ea0f2006df06
Look Back At It,2019-01-12,A Boogie Wit da Hoodie,54,66,54,4,cc101b68-19c4-4dd2-be11-e4c0438130d4
Armed And Dangerous,2019-01-12,Juice WRLD,56,76,44,8,80cbf2b8-3a77-40c9-9f3f-95010bbb6ff3
This Is It,2019-01-12,Scotty McCreery,57,100,57,4,aec07661-9222-464f-9563-99611a159ae8
Calling My Spirit,2019-01-12,Kodak Black,58,74,46,5,4769e118-f401-4ccc-bf3c-daae7b83f370
You,2019-01-12,Jacquees,59,85,59,6,7df17530-fdc9-4e2f-889f-5f69707263e1
Imagine,2019-01-12,Ariana Grande,63,71,24,3,8f02a55f-7e09-4e69-8e53-7c77b3f1c97d
Ella Quiere Beber,2019-01-12,Anuel AA & Romeo Santos,64,92,64,9,3d5c1a12-cd23-472d-96cb-7ca132f470c9
Millionaire,2019-01-12,Chris Stapleton,69,,69,4,f61c9210-1cbb-4a7a-8e4a-f0531fa0f662
BAD!,2019-01-12,XXXTENTACION,70,68,16,8,d5ddede3-e821-4a77-aecf-e51794a76366
Pure Cocaine,2019-01-12,Lil Baby,72,,46,4,8cc74581-e677-4851-ad27-83d05515fd36
Lovely,2019-01-12,Billie Eilish & Khalid,73,91,73,10,1fc545d3-94b6-4a3d-bff3-bb8b861943d6
Fine China,2019-01-12,Future & Juice WRLD,74,97,26,11,cebb70eb-9d09-4698-b0bf-78b5d7db8b90
Take It From Me,2019-01-12,Jordan Davis,75,,75,1,37b94577-62f8-4bab-8c60-6715fb9f9130
What Makes You Country,2019-01-12,Luke Bryan,76,,76,1,3dafcbe1-f845-4042-b49c-534dcf0a8c7a
Yosemite,2019-01-12,Travis Scott,77,,25,11,1892f310-8713-47e5-b9a8-06f8d4021ca9
Monster,2019-01-12,21 Savage,78,73,73,2,b27f812f-2aba-4c08-b1b1-f079666e5609
Blue Tacoma,2019-01-12,Russell Dickerson,79,,52,16,f7ba6b6f-a162-403d-8ceb-764b26d312d1
Down To The Honkytonk,2019-01-12,Jake Owen,80,,80,1,59b69ea3-1632-4f7e-bec6-154e8fb556b7
Close Friends,2019-01-12,Lil Baby,81,,28,12,5289ec9d-42ba-44ef-b5b6-40d2f0808efb
Love Someone,2019-01-12,Lukas Graham,82,,82,1,2cf83875-5a44-49a8-94ed-90585358eaab
Love Wins,2019-01-12,Carrie Underwood,83,,83,1,b290c1f2-6ba3-4f2a-b286-0654d2accfc5
Dip,2019-01-12,Tyga & Nicki Minaj,88,,63,7,e8e35697-58fa-464e-818e-8510ab1d531f
Here Tonight,2019-01-12,Brett Young,91,,91,1,562c319d-570d-4c6f-bdd7-98b0bb993af1
Burn Out,2019-01-12,Midland,92,,92,1,f3cc70b6-e05e-432d-9c4d-1f939e1c225f
Solo de Mi,2019-01-12,Bad Bunny,93,,93,1,3db3658e-1d89-4e3c-90cf-19d47849d7a8
whoa (mind in awe),2019-01-12,XXXTENTACION,96,,37,3,1a38a7f7-2345-4e8b-bb84-e2e2b41f711b
All My Friends,2019-01-12,21 Savage,97,67,67,2,a677841e-8b92-4ed9-92fa-b67e50f9422c
Make It Sweet,2019-01-12,Old Dominion,98,,98,1,d7b4ebdb-7d8a-481a-99fd-36019d7c7ef1
Ocean Eyes,2019-01-12,Billie Eilish,99,,96,3,15dafb91-e02e-4feb-b183-f5b547cff2f6
idontwannabeyouanymore,2019-01-12,Billie Eilish,100,,100,1,28aebbcc-de11-47cd-bdda-ce9db5dfbbf7
Sunflower (Spider-Man: Into The Spider-Verse),2019-01-19,Post Malone & Swae Lee,1,3,1,12,74ce027a-e5a1-47f4-8997-68d89febca3f
Happier,2019-01-19,Marshmello & Bastille,6,6,3,21,623b7611-08d9-4115-acd6-69f734dd3f24
Drip Too Hard,2019-01-19,Lil Baby & Gunna,8,8,4,17,f65108f7-c7ea-4c86-be42-fff229d8cbfb
Eastside,2019-01-19,"benny blanco, Halsey & Khalid",9,11,9,26,787087cb-cb94-442d-98dd-2eddc59f1f84
Wow.,2019-01-19,Post Malone,11,13,11,3,a6d85260-c6fa-4099-9884-92a4f86f636c
Better Now,2019-01-19,Post Malone,13,10,3,37,f4ff2903-27db-47ff-937d-d05bfdbf471f
Mo Bamba,2019-01-19,Sheck Wes,14,15,6,20,a36d5faf-376b-41f7-ba54-97df8f2e17ca
Breathin,2019-01-19,Ariana Grande,15,16,12,21,ebbda164-fca5-476b-ad1a-26083d64ecf2
Youngblood,2019-01-19,5 Seconds Of Summer,16,14,7,32,29f9b50f-5771-4403-85d3-a9e09fec1693
Money,2019-01-19,Cardi B,17,17,13,12,554be879-81c1-4202-9c45-286af561182f
Speechless,2019-01-19,Dan + Shay,25,24,24,18,7230a157-87d2-4242-868a-9b1d3253e392
Trip,2019-01-19,Ella Mai,26,23,11,23,6b16cc43-7752-4eb3-ad55-fc04505f4b34
Love Lies,2019-01-19,Khalid & Normani,28,27,9,47,d8e58929-5da8-4361-94c5-a796c63f1ab6
Natural,2019-01-19,Imagine Dragons,29,25,13,25,7347472e-a25b-4c4a-8317-f5f9c5e998d1
I Like It,2019-01-19,"Cardi B, Bad Bunny & J Balvin",30,26,1,40,93951877-d1ad-4ebd-a41a-3d818d237cca
She Got The Best Of Me ,2019-01-19,Luke Combs,32,31,31,22,52c2f1cc-1dc0-4411-bc51-a21fe3b8a88c
A Lot,2019-01-19,21 Savage,33,36,33,3,401f7e9c-dede-4aea-a7f3-4a85456bc268
You Say,2019-01-19,Lauren Daigle,34,34,34,26,e8128e69-1c24-4e0f-8e31-6a4087299ba4
Undecided,2019-01-19,Chris Brown,35,,35,1,82147351-014c-4b3b-aca2-35130e6553ab
Uproar,2019-01-19,Lil Wayne,36,35,7,15,630854cf-741a-4b68-bc9d-c648862b4180
Sweet But Psycho,2019-01-19,Ava Max,37,41,37,4,f9b48b9e-fee4-4bff-8b50-646aca297b80
Baby Shark,2019-01-19,Pinkfong,38,32,32,2,4d19d9d5-9174-4037-9dec-21b6c2cbcbb9
Best Shot,2019-01-19,Jimmie Allen,39,37,37,17,bd5556f5-4329-4c48-90a5-03c1247dcb55
Good Girl,2019-01-19,Dustin Lynch,44,47,44,9,98a1da94-13d9-4bcc-a0bd-820f9598b584
Sixteen,2019-01-19,Thomas Rhett,45,42,42,9,4ac01c59-c53e-433e-8908-ef536a0a97ec
Crushed Up,2019-01-19,Future,46,,46,1,59e5b069-5736-445d-aec1-8bb8cb4e6b40
Backin' It Up,2019-01-19,Pardison Fontaine Featuring Cardi B,48,44,44,13,7a699244-9155-4d98-96f5-5363209e0f7b
Look Back At It,2019-01-19,A Boogie Wit da Hoodie,49,54,49,5,d220bc4a-dcb3-4711-a16f-0bbb0d37f354
Girl Like You,2019-01-19,Jason Aldean,50,52,50,7,33d698bb-382f-48ef-8938-6e8f3af45fd8
Consequences,2019-01-19,Camila Cabello,52,51,51,10,4e5937a1-c276-427d-8d50-b788f4245c73
This Is It,2019-01-19,Scotty McCreery,53,57,53,5,aec07661-9222-464f-9563-99611a159ae8
Armed And Dangerous,2019-01-19,Juice WRLD,54,56,44,9,80cbf2b8-3a77-40c9-9f3f-95010bbb6ff3
Calling My Spirit,2019-01-19,Kodak Black,56,58,46,6,4769e118-f401-4ccc-bf3c-daae7b83f370
Talk To Me,2019-01-19,Tory Lanez & Rich The Kid,57,43,43,11,d8fc566e-659f-46ad-b177-436229cc86ca
You,2019-01-19,Jacquees,58,59,58,7,38529de4-4b7d-4145-9047-3b2235e253b4
Ella Quiere Beber,2019-01-19,Anuel AA & Romeo Santos,64,64,64,10,3d5c1a12-cd23-472d-96cb-7ca132f470c9
Lovely,2019-01-19,Billie Eilish & Khalid,65,73,65,11,1fc545d3-94b6-4a3d-bff3-bb8b861943d6
Pure Cocaine,2019-01-19,Lil Baby,66,72,46,5,8cc74581-e677-4851-ad27-83d05515fd36
Millionaire,2019-01-19,Chris Stapleton,67,69,67,5,f61c9210-1cbb-4a7a-8e4a-f0531fa0f662
When The Party's Over,2019-01-19,Billie Eilish,68,68,52,12,fe265667-ad88-4e84-baff-721a4aaa6f8f
Take It From Me,2019-01-19,Jordan Davis,69,75,69,2,37b94577-62f8-4bab-8c60-6715fb9f9130
Can't Leave Without It,2019-01-19,21 Savage,70,65,58,3,a82d6fa1-0f3e-4a44-a18a-c43d5e6afe71
Yosemite,2019-01-19,Travis Scott,71,77,25,12,1892f310-8713-47e5-b9a8-06f8d4021ca9
Fine China,2019-01-19,Future & Juice WRLD,72,74,26,12,cebb70eb-9d09-4698-b0bf-78b5d7db8b90
Imagine,2019-01-19,Ariana Grande,73,63,24,4,8f02a55f-7e09-4e69-8e53-7c77b3f1c97d
What Makes You Country,2019-01-19,Luke Bryan,74,76,74,2,3dafcbe1-f845-4042-b49c-534dcf0a8c7a
Down To The Honkytonk,2019-01-19,Jake Owen,75,80,75,2,59b69ea3-1632-4f7e-bec6-154e8fb556b7
Ruin My Life,2019-01-19,Zara Larsson,76,86,76,2,78d36ccc-1757-4cbc-a52f-3976a05b8ce4
BAD!,2019-01-19,XXXTENTACION,77,70,16,9,0e20165f-e02e-4472-9f4a-80ecacc5bda7
Smile (Living My Best Life),2019-01-19,Lil' Duval Featuring Snoop Dogg & Ball Greezy,78,67,56,19,cb11d149-df69-405f-b837-3053def3de75
Love Wins,2019-01-19,Carrie Underwood,85,83,83,2,b290c1f2-6ba3-4f2a-b286-0654d2accfc5
Valuable Pain,2019-01-19,YoungBoy Never Broke Again,87,,87,1,00460a52-8abc-4ad8-bdf5-1ac43dccabe4
Here Tonight,2019-01-19,Brett Young,88,91,88,2,5cacd244-9c0d-410b-be1c-2000ce659b94
Close Friends,2019-01-19,Lil Baby,89,81,28,13,d3290ee1-9e64-4f0d-a9f7-97ef42b9708a
Monster,2019-01-19,21 Savage,90,78,73,3,b27f812f-2aba-4c08-b1b1-f079666e5609
Make It Sweet,2019-01-19,Old Dominion,92,98,92,2,d7b4ebdb-7d8a-481a-99fd-36019d7c7ef1
Burn Out,2019-01-19,Midland,93,92,92,2,f3cc70b6-e05e-432d-9c4d-1f939e1c225f
Ocean Eyes,2019-01-19,Billie Eilish,97,99,96,4,15dafb91-e02e-4feb-b183-f5b547cff2f6
Sunflower (Spider-Man: Into The Spider-Verse),2019-01-26,Post Malone & Swae Lee,2,1,1,13,b6df9d04-2303-4ec7-a416-367b06a026cb
Sicko Mode,2019-01-26,Travis Scott,3,4,1,24,b7326a80-8332-4ee0-8238-d6737efba347
High Hopes,2019-01-26,Panic! At The Disco,4,5,4,24,f3e9f6f4-130c-420f-b90e-aa1bad4263b5
"Thank U, Next",2019-01-26,Ariana Grande,5,3,1,11,46d32ced-77f7-4f85-b38b-1b547dc0722b
Happier,2019-01-26,Marshmello & Bastille,6,6,3,22,623b7611-08d9-4115-acd6-69f734dd3f24
Drip Too Hard,2019-01-26,Lil Baby & Gunna,8,8,4,18,f65108f7-c7ea-4c86-be42-fff229d8cbfb
Wow.,2019-01-26,Post Malone,9,11,9,4,a6d85260-c6fa-4099-9884-92a4f86f636c
Eastside,2019-01-26,"benny blanco, Halsey & Khalid",11,9,9,27,787087cb-cb94-442d-98dd-2eddc59f1f84
Money,2019-01-26,Cardi B,13,17,13,13,edef2393-fc95-4644-9f4c-52e6016ceb88
Mo Bamba,2019-01-26,Sheck Wes,14,14,6,21,a36d5faf-376b-41f7-ba54-97df8f2e17ca
Better Now,2019-01-26,Post Malone,15,13,3,38,f4ff2903-27db-47ff-937d-d05bfdbf471f
Youngblood,2019-01-26,5 Seconds Of Summer,16,16,7,33,65a9d41d-9034-49d7-afa8-d7e227742898
Leave Me Alone,2019-01-26,Flipp Dinero,21,21,21,18,473f3033-87c5-49db-83df-b751cbb6108d
Better,2019-01-26,Khalid,22,24,22,18,5ef726de-68d8-4f74-806c-50d75d105bdb
Lucid Dreams,2019-01-26,Juice WRLD,23,22,2,36,a31f849d-af28-48e8-a6e1-ecb7c9faea3b
Shallow,2019-01-26,Lady Gaga & Bradley Cooper,24,23,5,16,31efbe4d-0e4c-47a4-9a77-a7e5ad0588f4
Speechless,2019-01-26,Dan + Shay,25,25,24,19,7230a157-87d2-4242-868a-9b1d3253e392
Lost In The Fire,2019-01-26,Gesaffelstein & The Weeknd,27,,27,1,704c3bd0-e889-42bb-9c34-34c2a79a7060
Love Lies,2019-01-26,Khalid & Normani,28,28,9,48,09a95083-124c-45a6-886a-75cc9952a800
Trip,2019-01-26,Ella Mai,29,26,11,24,834fd36c-8813-49fe-8a30-ac0f7cf498bb
I Like It,2019-01-26,"Cardi B, Bad Bunny & J Balvin",30,30,1,41,93951877-d1ad-4ebd-a41a-3d818d237cca
Natural,2019-01-26,Imagine Dragons,31,29,13,26,7347472e-a25b-4c4a-8317-f5f9c5e998d1
Dancing With A Stranger,2019-01-26,Sam Smith & Normani,33,,33,1,aa243e48-c9f6-4753-8b42-b2342bb8988b
A Lot,2019-01-26,21 Savage,34,33,33,4,401f7e9c-dede-4aea-a7f3-4a85456bc268
You Say,2019-01-26,Lauren Daigle,35,34,34,27,e8128e69-1c24-4e0f-8e31-6a4087299ba4
Look Back At It,2019-01-26,A Boogie Wit da Hoodie,40,49,40,6,53145671-fb44-40a6-a363-52e95edf226b
Envy Me,2019-01-26,Calboy,41,63,41,5,fe1d5d7a-0697-4a51-8f5e-1ea68b03dc4d
Beautiful Crazy,2019-01-26,Luke Combs,42,41,41,10,3b1894a2-7988-48fa-91d4-ae036272ef38
Sixteen,2019-01-26,Thomas Rhett,43,45,42,10,4ac01c59-c53e-433e-8908-ef536a0a97ec
Be Alright,2019-01-26,Dean Lewis,44,42,40,12,08467bce-dc5d-43f5-b591-fe3ecf1b956c
Backin' It Up,2019-01-26,Pardison Fontaine Featuring Cardi B,45,48,44,14,7a699244-9155-4d98-96f5-5363209e0f7b
Girl Like You,2019-01-26,Jason Aldean,46,50,46,8,33d698bb-382f-48ef-8938-6e8f3af45fd8
Best Shot,2019-01-26,Jimmie Allen,48,39,37,18,1e933b5d-6956-4cb4-9973-03edc2f72356
Uproar,2019-01-26,Lil Wayne,49,36,7,16,630854cf-741a-4b68-bc9d-c648862b4180
This Is It,2019-01-26,Scotty McCreery,52,53,52,6,aec07661-9222-464f-9563-99611a159ae8
Good Girl,2019-01-26,Dustin Lynch,53,44,44,10,98a1da94-13d9-4bcc-a0bd-820f9598b584
Crushed Up,2019-01-26,Future,59,46,46,2,59e5b069-5736-445d-aec1-8bb8cb4e6b40
Consequences,2019-01-26,Camila Cabello,60,52,51,11,4e5937a1-c276-427d-8d50-b788f4245c73
You,2019-01-26,Jacquees,61,58,58,8,7df17530-fdc9-4e2f-889f-5f69707263e1
Lovely,2019-01-26,Billie Eilish & Khalid,64,65,64,12,1fc545d3-94b6-4a3d-bff3-bb8b861943d6
Ella Quiere Beber,2019-01-26,Anuel AA & Romeo Santos,66,64,64,11,3d5c1a12-cd23-472d-96cb-7ca132f470c9
Pure Cocaine,2019-01-26,Lil Baby,67,66,46,6,8cc74581-e677-4851-ad27-83d05515fd36
Yosemite,2019-01-26,Travis Scott,70,71,25,13,1892f310-8713-47e5-b9a8-06f8d4021ca9
Millionaire,2019-01-26,Chris Stapleton,71,67,67,6,f61c9210-1cbb-4a7a-8e4a-f0531fa0f662
Talk To Me,2019-01-26,Tory Lanez & Rich The Kid,72,57,43,12,d8fc566e-659f-46ad-b177-436229cc86ca
What Makes You Country,2019-01-26,Luke Bryan,73,74,73,3,3dafcbe1-f845-4042-b49c-534dcf0a8c7a
Down To The Honkytonk,2019-01-26,Jake Owen,78,75,75,3,63e2157b-6d6d-4b91-afe2-00cd3ba69907
Jumpin On A Jet,2019-01-26,Future,80,,80,1,8b255f88-0c44-404f-93e9-320901a9a610
Love Someone,2019-01-26,Lukas Graham,81,82,81,3,c66ab8df-a941-4d63-8ae6-925fe85e8162
Fine China,2019-01-26,Future & Juice WRLD,83,72,26,13,69841c73-2b3a-479a-bcf8-bae97cc631ae
BAD!,2019-01-26,XXXTENTACION,85,77,16,10,0e20165f-e02e-4472-9f4a-80ecacc5bda7
Love Wins,2019-01-26,Carrie Underwood,86,85,83,3,b290c1f2-6ba3-4f2a-b286-0654d2accfc5
Butterfly Doors,2019-01-26,Lil Pump,89,81,81,2,793562ee-e800-477a-b3d9-e627bec044ec
