song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid
Touch Me,1969-03-15,The Doors,16,9,3,12,6eaeaf3a-9371-4d1f-b0b7-f0e409d9fa5e
Things I'd Like To Say,1969-03-15,New Colony Six,17,23,17,12,87ce3480-1dcc-4a5c-b0ac-f53ed2eaedce
Galveston,1969-03-15,Glen Campbell,18,47,18,3,df061e74-9597-4067-a1bd-e0607be92705
Give It Up Or Turnit A Loose,1969-03-15,James Brown,19,15,15,8,7617ebb0-aef5-4f6b-a2a3-290a94a601b9
I Got A Line On You,1969-03-15,Spirit,25,37,25,9,4e350cd3-1473-488c-95e3-ff8a94f08f09
Ramblin' Gamblin' Man,1969-03-15,Bob Seger System,26,25,17,13,672f64d6-3975-4486-812a-20880cbfbef1
You Gave Me A Mountain,1969-03-15,Frankie Laine,27,38,27,6,518db98c-d407-4d17-adcb-2d1e47d6720b
Only The Strong Survive,1969-03-15,Jerry Butler,28,31,28,3,d695aea3-2aef-486b-8bfd-5d99095294f2
I'm Livin' In Shame,1969-03-15,Diana Ross & The Supremes,29,21,10,8,f7cc452a-cac6-4aa3-ad13-47debfd625dc
"Sweet Cream Ladies, Forward March",1969-03-15,The Box Tops,30,34,28,12,f7940b38-6482-47f6-9474-d13241d52c34
Cloud Nine,1969-03-15,Mongo Santamaria,32,32,32,7,64c8d030-45d7-4807-9990-bf916ebf0eca
Rock Me,1969-03-15,Steppenwolf,33,48,33,3,88f6bc05-0c9b-4adf-bee2-57eeeb7c344d
Crossroads,1969-03-15,Cream,34,28,28,8,aaff3261-42f7-48dd-be03-86d2e4a116c3
Mendocino,1969-03-15,Sir Douglas Quintet,35,45,35,9,ed7d79bc-04e4-42e0-94d9-fb9ce0b36574
You've Made Me So Very Happy,1969-03-15,"Blood, Sweat & Tears",36,66,36,3,20515fca-d04e-4ab0-b49b-8105081742c2
Aquarius/Let The Sunshine In (The Flesh Failures),1969-03-15,The 5th Dimension,37,89,37,2,1b5639e5-d01c-4136-9169-f0885435430c
There'll Come A Time,1969-03-15,Betty Everett,38,26,26,9,dbca1723-d584-4ceb-90e1-d46c15547907
May I,1969-03-15,Bill Deal & The Rhondels,39,43,39,9,b3d5cfd9-9963-48a0-88ba-e6577cef2f58
Twenty-Five Miles,1969-03-15,Edwin Starr,43,52,43,5,1c5e5b6f-0f14-42d9-bd23-f1e02c164f1e
Good Lovin' Ain't Easy To Come By,1969-03-15,Marvin Gaye & Tammi Terrell,44,30,30,7,4d6d35c2-493e-4535-82b2-e7b72e18f9a1
Do Your Thing,1969-03-15,The Watts 103rd Street Rhythm Band,45,51,45,7,5b40239d-a50d-4c55-8b52-875ac03b8d42
Heaven,1969-03-15,The Rascals,46,39,39,6,49a639b2-f60e-4a71-8593-f27415cc023e
Try A Little Tenderness,1969-03-15,Three Dog Night,47,60,47,6,b31eae1e-0bba-443a-b77d-f5b4540da6d2
Let It Be Me,1969-03-15,Glen Campbell & Bobbie Gentry,48,36,36,8,2b9e8972-ad2d-4630-b96b-16dc0a259263
Lovin' Things,1969-03-15,The Grass Roots,49,49,49,5,da8ff273-b643-4ff0-a5b9-f07f55b62e80
To Susan On The West Coast Waiting,1969-03-15,Donovan,50,35,35,6,2d38ff5e-a23c-499c-b1dc-65e29ac6918f
Brother Love's Travelling Salvation Show,1969-03-15,Neil Diamond,51,65,51,4,6b409f05-dc35-4168-85c8-de438de5cff8
A Lover's Question,1969-03-15,Otis Redding,52,53,52,3,8aaf6a0d-5973-4191-9b8d-ea191e88a6a0
Johnny One Time,1969-03-15,Brenda Lee,53,59,53,6,9f28ef68-464d-48ef-81cb-d3919cbf9816
The Letter,1969-03-15,The Arbors,55,70,55,4,a38f28cf-97f8-4c8f-af09-50d768b943f5
Tear Drop City,1969-03-15,The Monkees,56,62,56,4,49133831-5332-40fa-9af7-5c6859021fc2
Who's Making Love,1969-03-15,Young-Holt Unlimited,57,57,57,3,dd48a5c1-a904-49c2-90be-5e924c4770e6
Honey (I Miss You),1969-03-15,O.C. Smith,58,44,44,6,6bdaaeb6-74c2-41ad-bd0a-ee1f44a28769
Tragedy,1969-03-15,Brian Hyland,59,56,56,10,22a989c3-3413-47cd-a8c9-54830c54ecab
When He Touches Me (Nothing Else Matters),1969-03-15,Peaches & Herb,62,63,62,3,68585da4-d2cd-4d33-a024-9f0537455a49
These Are Not My People,1969-03-15,Johnny Rivers,63,64,63,4,c4830bae-af8b-48e4-b179-5ddf8cb0edd9
Apricot Brandy,1969-03-15,Rhinoceros,64,75,64,4,660c63cb-4c1b-4a01-b737-36e194ed82e8
Gimme Gimme Good Lovin',1969-03-15,Crazy Elephant,66,80,66,3,d07958b9-02ad-475a-aa31-181240234be7
Maybe Tomorrow,1969-03-15,The Iveys,67,68,67,5,d7236140-5e9f-44ec-85a1-67932c4d0d88
Glad She's A Woman,1969-03-15,Bobby Goldsboro,68,61,61,6,4ab6cd25-02ae-47ce-afbc-d2233fa92b12
Don't Give In To Him,1969-03-15,Gary Puckett And The Union Gap,69,,69,1,bdc9c1f5-be86-44c1-86fe-d47b0bc9984e
I Can Hear Music,1969-03-15,The Beach Boys,70,86,70,2,babecc85-2ea5-402d-852d-5edeb28a5043
Hello It's Me,1969-03-15,Nazz,71,71,71,5,c073ae33-f9dc-46df-9ee6-ab51373b0dfa
Shotgun,1969-03-15,Vanilla Fudge,72,81,72,2,d51cf892-0bf7-4494-9ec3-b9d490b4c3e3
Snatching It Back,1969-03-15,Clarence Carter,76,77,76,3,2ad8d8f4-c3e2-4342-841c-264b016d10fa
The Way It Used To Be,1969-03-15,Engelbert Humperdinck,77,87,77,3,500b2527-a536-4598-9c80-6cea3ab90640
Don't Touch Me,1969-03-15,Bettye Swann,78,91,78,2,07a4ef29-961c-4933-ab11-460e12bec6ab
"No, Not Much",1969-03-15,The Vogues,79,84,79,2,4fd3f4e2-767a-49aa-84a6-06377e455a62
Goodbye Columbus,1969-03-15,The Association,80,,80,1,f8d40991-57a4-419a-bc4a-f979f6ff4e6f
Long Green,1969-03-15,The Fireballs,81,82,81,4,f88bd9b1-ce69-4f3e-8a03-7138b0d11099
Will You Be Staying After Sunday,1969-03-15,The Peppermint Rainbow,82,92,82,5,3e9a45cd-ad37-41af-9125-d52492259a94
Hair,1969-03-15,The Cowsills,84,,84,1,efa922bc-6b50-4a10-8159-2d61b4e99304
Playgirl,1969-03-15,Thee Prophets,85,96,85,2,c54dce1c-0bf3-4a25-9a39-69785655dae2
Time Is Tight,1969-03-15,Booker T. & The MG's,86,,86,1,d50776ee-592e-47ec-aa50-51f662ee9d47
Didn't You Know (You'd Have To Cry Sometime),1969-03-15,Gladys Knight And The Pips,87,88,87,2,f65a9d2e-9fdf-4347-b807-3bfb03bf4d6d
Nothing But A Heartache,1969-03-15,The Flirtations,88,93,88,2,bbfcd995-ed0b-4082-8a87-701e8b17e6c9
Sing A Simple Song,1969-03-15,Sly & The Family Stone,89,90,89,2,c82dac0f-186a-40b8-a3ed-d9aac1f96d4a
Kick Out The Jams,1969-03-15,MC5,90,,90,1,8ab1a635-8810-4026-b4f1-50613abdd120
Only You (And You Alone),1969-03-15,Bobby Hatfield,95,99,95,2,25d874a5-7247-4b0c-b604-e410b36f0760
Hallways Of My Mind,1969-03-15,The Dells,97,97,97,2,6f0782ac-96b6-4ef0-8ab8-2cb8c909cb95
The Wedding Cake,1969-03-15,Connie Francis,98,98,98,2,a5a45b2b-214f-48b3-b093-a39ba8566cce
Hawaii Five-O,1969-03-15,The Ventures,99,100,99,2,9f730ae9-0aa7-44e9-b22d-af3660f49f2a
God Knows I Love You,1969-03-15,Nancy Sinatra,100,,100,1,36b39a48-2d4f-48e4-b6a6-3dbdd369fe94
Dizzy,1969-03-22,Tommy Roe,1,1,1,8,676f08cb-f1b7-40cf-95de-e24d3832074a
Proud Mary,1969-03-22,Creedence Clearwater Revival,2,2,2,9,2b9ded00-355c-4653-b21c-49cf3c905875
Traces,1969-03-22,Classics IV Featuring Dennis Yost,3,5,3,7,2238e88c-f339-4b31-88cf-c10354a5d6bc
Build Me Up Buttercup,1969-03-22,The Foundations,4,4,3,12,5b080da5-640a-4476-ab6a-82c917bdbce4
Indian Giver,1969-03-22,1910 Fruitgum Co.,5,8,5,9,bce39744-bd07-43d4-8fbd-95aa2bbbcd8f
Time Of The Season,1969-03-22,The Zombies,6,9,6,7,5efa0ab3-d9e3-4097-9898-346f7d41a762
This Girl's In Love With You,1969-03-22,Dionne Warwick,7,7,7,8,91007eb7-642a-4a61-b18f-c6f1d8d0edc2
Everyday People,1969-03-22,Sly & The Family Stone,8,3,1,17,ecc132a8-1023-4105-a107-2aba9dbe3369
Crimson And Clover,1969-03-22,Tommy James And The Shondells,9,6,1,15,e2026483-f77f-482f-b942-b3bb3b9a81c5
I've Gotta Be Me,1969-03-22,Sammy Davis Jr.,15,13,11,15,d8eba1fd-de7a-49e3-a90b-8cbf9775d6a0
Things I'd Like To Say,1969-03-22,New Colony Six,16,17,16,13,3879d29c-2eb3-41ce-aecd-f44e5ad0e59b
"Baby, Baby Don't Cry",1969-03-22,Smokey Robinson & The Miracles,17,15,8,12,4c9b9516-d55a-45cc-a168-214a5791b4b3
This Magic Moment,1969-03-22,Jay & The Americans,18,10,6,13,fc1a7b8c-c8ea-4773-95e2-5f42065c14b5
The Weight,1969-03-22,Aretha Franklin,19,21,19,5,8f9ba291-2ba7-4a48-835f-52c64485653f
Rock Me,1969-03-22,Steppenwolf,20,33,20,4,88f6bc05-0c9b-4adf-bee2-57eeeb7c344d
You've Made Me So Very Happy,1969-03-22,"Blood, Sweat & Tears",21,36,21,4,74a87a89-d6f6-4c16-a413-1b19e717aec0
Only The Strong Survive,1969-03-22,Jerry Butler,24,28,24,4,d695aea3-2aef-486b-8bfd-5d99095294f2
I Got A Line On You,1969-03-22,Spirit,25,25,25,10,dc886e29-da02-4eed-9b61-eb6d4a7d4882
You Gave Me A Mountain,1969-03-22,Frankie Laine,26,27,26,7,c322accb-4254-4038-b1c3-79795cb02ae3
Twenty-Five Miles,1969-03-22,Edwin Starr,27,43,27,6,4eda653a-f2c0-4eec-a567-cc3e4c5de1cf
"Sweet Cream Ladies, Forward March",1969-03-22,The Box Tops,28,30,28,13,f7940b38-6482-47f6-9474-d13241d52c34
But You Know I Love You,1969-03-22,The First Edition,29,23,19,10,0d274ae2-b876-4346-94c2-4f4928594c16
Ramblin' Gamblin' Man,1969-03-22,Bob Seger System,35,26,17,14,672f64d6-3975-4486-812a-20880cbfbef1
Give It Up Or Turnit A Loose,1969-03-22,James Brown,36,19,15,9,7617ebb0-aef5-4f6b-a2a3-290a94a601b9
Do Your Thing,1969-03-22,The Watts 103rd Street Rhythm Band,37,45,37,8,5b40239d-a50d-4c55-8b52-875ac03b8d42
There'll Come A Time,1969-03-22,Betty Everett,38,38,26,10,8685ec9d-0a54-456d-a0d3-af56e6ee0f04
I Don't Know Why,1969-03-22,Stevie Wonder,39,42,39,6,fd88395d-137a-4139-ae22-ebe3b7a1300d
Don't Give In To Him,1969-03-22,Gary Puckett And The Union Gap,40,69,40,2,bdc9c1f5-be86-44c1-86fe-d47b0bc9984e
May I,1969-03-22,Bill Deal & The Rhondels,41,39,39,10,d225ba8d-584b-423c-bb8c-f6cc440856dc
It's Your Thing,1969-03-22,The Isley Brothers,42,93,42,2,af06f6d0-24b2-4750-b065-2c5ae7f47fad
"No, Not Much",1969-03-22,The Vogues,43,79,43,3,4fd3f4e2-767a-49aa-84a6-06377e455a62
I Can Hear Music,1969-03-22,The Beach Boys,44,70,44,3,babecc85-2ea5-402d-852d-5edeb28a5043
Try A Little Tenderness,1969-03-22,Three Dog Night,45,47,45,7,b31eae1e-0bba-443a-b77d-f5b4540da6d2
The Letter,1969-03-22,The Arbors,46,55,46,5,a38f28cf-97f8-4c8f-af09-50d768b943f5
Cloud Nine,1969-03-22,Mongo Santamaria,47,32,32,8,64c8d030-45d7-4807-9990-bf916ebf0eca
A Lover's Question,1969-03-22,Otis Redding,48,52,48,4,ebd921eb-4e48-45ae-a9d0-1fea0b12c4d3
Brother Love's Travelling Salvation Show,1969-03-22,Neil Diamond,49,51,49,5,6b409f05-dc35-4168-85c8-de438de5cff8
These Are Not My People,1969-03-22,Johnny Rivers,55,63,55,5,bbe4a758-6741-4708-88f1-4394a62f953a
Tear Drop City,1969-03-22,The Monkees,56,56,56,5,57675c0f-fc1d-45ad-a801-f368bd2f955b
When He Touches Me (Nothing Else Matters),1969-03-22,Peaches & Herb,57,62,57,4,68585da4-d2cd-4d33-a024-9f0537455a49
Gimme Gimme Good Lovin',1969-03-22,Crazy Elephant,58,66,58,4,d07958b9-02ad-475a-aa31-181240234be7
Apricot Brandy,1969-03-22,Rhinoceros,60,64,60,5,660c63cb-4c1b-4a01-b737-36e194ed82e8
Don't Touch Me,1969-03-22,Bettye Swann,61,78,61,3,07a4ef29-961c-4933-ab11-460e12bec6ab
Who's Making Love,1969-03-22,Young-Holt Unlimited,62,57,57,4,dd48a5c1-a904-49c2-90be-5e924c4770e6
I Like What You're Doing (To Me),1969-03-22,Carla Thomas,63,73,63,6,9ce9828d-3d50-4b9a-af10-e765db3ead4c
Don't Forget About Me,1969-03-22,Dusty Springfield,64,74,64,4,6a6d9c45-01bd-40b1-96a2-3101a3476327
The Way It Used To Be,1969-03-22,Engelbert Humperdinck,65,77,65,4,e18a9747-055a-4229-bc4a-6aef79245b5a
Memories,1969-03-22,Elvis Presley,67,,67,1,2160dbf3-4c0b-4e2b-b609-2fc080ba3fc3
Playgirl,1969-03-22,Thee Prophets,68,85,68,3,c54dce1c-0bf3-4a25-9a39-69785655dae2
Maybe Tomorrow,1969-03-22,The Iveys,69,67,67,6,d7236140-5e9f-44ec-85a1-67932c4d0d88
Long Green,1969-03-22,The Fireballs,73,81,73,5,f88bd9b1-ce69-4f3e-8a03-7138b0d11099
Will You Be Staying After Sunday,1969-03-22,The Peppermint Rainbow,74,82,74,6,b3eeebb8-36b8-4646-9fd7-4c919c02eabb
Soul Experience,1969-03-22,Iron Butterfly,75,75,75,5,a14bb292-7bbd-468d-8b3e-063e5eebab40
Didn't You Know (You'd Have To Cry Sometime),1969-03-22,Gladys Knight And The Pips,77,87,77,3,6db3dcbf-3dae-4843-a9eb-6a4056fd99e8
Time Is Tight,1969-03-22,Booker T. & The MG's,78,86,78,2,d50776ee-592e-47ec-aa50-51f662ee9d47
Hello It's Me,1969-03-22,Nazz,79,71,71,6,c073ae33-f9dc-46df-9ee6-ab51373b0dfa
Goodbye Columbus,1969-03-22,The Association,80,80,80,2,a3f9b59d-1cc9-478b-ae29-ac2c7e18f9f4
Is It Something You've Got,1969-03-22,Tyrone Davis,81,,81,1,bf401160-1b40-4ab9-983a-ea0a88847697
First Of May,1969-03-22,Bee Gees,82,,82,1,1579f5ec-b81b-40bc-b6bc-3af4ab2499d8
"Move In A Little Closer, Baby",1969-03-22,Mama Cass,83,92,83,2,873f0dc9-0c2c-493e-844f-d9b3be229e70
It's Only Love,1969-03-22,B.J. Thomas,84,,84,1,700e29d1-432b-4ea9-94ec-52a2662b1224
In The Still Of The Night,1969-03-22,Paul Anka,85,,85,1,de192a35-6e0a-4d27-a548-bb47ce9f4807
Sweet Cherry Wine,1969-03-22,Tommy James And The Shondells,86,,86,1,93a4324a-13f2-4983-a113-6eb6cccbaab7
Ice Cream Song,1969-03-22,The Dynamics,87,,87,1,433e88bf-ee63-47a7-a7ce-31fc676666eb
Nothing But A Heartache,1969-03-22,The Flirtations,88,88,88,3,04a0ecb3-6d33-4ebd-9db3-407a0ab1ac1d
Sing A Simple Song,1969-03-22,Sly & The Family Stone,89,89,89,3,123d1bb2-9d52-45a3-8b37-e0b262bd5554
Kick Out The Jams,1969-03-22,MC5,90,90,90,2,8ab1a635-8810-4026-b4f1-50613abdd120
Tracks Of My Tears,1969-03-22,Aretha Franklin,91,91,91,2,ebff964a-17c1-44b5-84b9-32da30d091ac
Hawaii Five-O,1969-03-22,The Ventures,92,99,92,3,147ac930-8e4f-4b5c-87d1-a1e96dee486f
Time Was,1969-03-22,Canned Heat,93,94,93,2,2a92a680-15a2-4f82-9fe1-5b75db07dc43
Hallways Of My Mind,1969-03-22,The Dells,94,97,94,3,6f0782ac-96b6-4ef0-8ab8-2cb8c909cb95
Only You (And You Alone),1969-03-22,Bobby Hatfield,95,95,95,3,25d874a5-7247-4b0c-b604-e410b36f0760
Foolish Fool,1969-03-22,Dee Dee Warwick,96,,96,1,524cda5a-363a-4e6e-8912-fd28ff748f1a
Born Again,1969-03-22,Sam & Dave,97,,97,1,062c890b-652d-404f-a939-1346a79a5547
The Wedding Cake,1969-03-22,Connie Francis,98,98,98,3,a5a45b2b-214f-48b3-b093-a39ba8566cce
Give It Away,1969-03-22,The Chi-lites,99,,95,3,1599e12e-4c9b-4711-b77a-4075f7b472d1
God Knows I Love You,1969-03-22,Nancy Sinatra,100,100,100,2,36b39a48-2d4f-48e4-b6a6-3dbdd369fe94
Dizzy,1969-03-29,Tommy Roe,1,1,1,9,8261ef42-ef13-4026-9e46-af189d4c14dd
Proud Mary,1969-03-29,Creedence Clearwater Revival,5,2,2,10,595f1216-6c8a-490d-bf5b-2729f2f1f9d7
"Run Away Child, Running Wild",1969-03-29,The Temptations,6,10,6,7,aea60881-a6bd-4057-8a5b-a07323e89616
Indian Giver,1969-03-29,1910 Fruitgum Co.,7,5,5,10,cefb77f6-039e-4419-a2fd-e2daa4b202fe
Galveston,1969-03-29,Glen Campbell,8,11,8,5,df061e74-9597-4067-a1bd-e0607be92705
My Whole World Ended (The Moment You Left Me),1969-03-29,David Ruffin,9,13,9,7,1ef08363-1a48-4e14-ac31-9a3dc7a01ba6
Only The Strong Survive,1969-03-29,Jerry Butler,10,24,10,5,7679717f-e55c-42e6-8c4f-b2787c8bbbaf
Build Me Up Buttercup,1969-03-29,The Foundations,11,4,3,13,4e2d8fe2-9ae3-45aa-941c-83c8e617b7ba
You've Made Me So Very Happy,1969-03-29,"Blood, Sweat & Tears",12,21,12,5,20515fca-d04e-4ab0-b49b-8105081742c2
This Girl's In Love With You,1969-03-29,Dionne Warwick,13,7,7,9,232c2624-4d15-4400-9462-4135f3dcd756
Everyday People,1969-03-29,Sly & The Family Stone,14,8,1,18,ecc132a8-1023-4105-a107-2aba9dbe3369
Rock Me,1969-03-29,Steppenwolf,15,20,15,5,88f6bc05-0c9b-4adf-bee2-57eeeb7c344d
Things I'd Like To Say,1969-03-29,New Colony Six,16,16,16,14,3879d29c-2eb3-41ce-aecd-f44e5ad0e59b
Twenty-Five Miles,1969-03-29,Edwin Starr,17,27,17,7,9cc166ee-40b6-42ca-8510-b01e2d59db6c
Crimson And Clover,1969-03-29,Tommy James And The Shondells,18,9,1,16,e2026483-f77f-482f-b942-b3bb3b9a81c5
You Gave Me A Mountain,1969-03-29,Frankie Laine,24,26,24,8,c322accb-4254-4038-b1c3-79795cb02ae3
This Magic Moment,1969-03-29,Jay & The Americans,25,18,6,14,fc1a7b8c-c8ea-4773-95e2-5f42065c14b5
It's Your Thing,1969-03-29,The Isley Brothers,26,42,26,3,af06f6d0-24b2-4750-b065-2c5ae7f47fad
Mendocino,1969-03-29,Sir Douglas Quintet,27,30,27,11,468e4f6a-58a0-4a3c-a32a-f28abb4c986b
Do Your Thing,1969-03-29,The Watts 103rd Street Rhythm Band,28,37,28,9,5b40239d-a50d-4c55-8b52-875ac03b8d42
I've Gotta Be Me,1969-03-29,Sammy Davis Jr.,30,15,11,16,524a14c6-0740-4614-b1de-f4ec0bbc119f
Don't Give In To Him,1969-03-29,Gary Puckett And The Union Gap,31,40,31,3,bdc9c1f5-be86-44c1-86fe-d47b0bc9984e
I Got A Line On You,1969-03-29,Spirit,32,25,25,11,ee082e0c-9240-4fec-bc6f-5706a8cf902b
"Sweet Cream Ladies, Forward March",1969-03-29,The Box Tops,33,28,28,14,f7940b38-6482-47f6-9474-d13241d52c34
"No, Not Much",1969-03-29,The Vogues,34,43,34,4,61e54728-6e5a-4d63-9a1d-42cdf5604778
Hair,1969-03-29,The Cowsills,35,70,35,3,efa922bc-6b50-4a10-8159-2d61b4e99304
Brother Love's Travelling Salvation Show,1969-03-29,Neil Diamond,36,49,36,6,6b409f05-dc35-4168-85c8-de438de5cff8
Try A Little Tenderness,1969-03-29,Three Dog Night,37,45,37,8,b31eae1e-0bba-443a-b77d-f5b4540da6d2
The Letter,1969-03-29,The Arbors,41,46,41,6,a38f28cf-97f8-4c8f-af09-50d768b943f5
Johnny One Time,1969-03-29,Brenda Lee,42,51,42,8,e9c751f4-8eeb-4f92-b263-e40f2d022a6d
I Can Hear Music,1969-03-29,The Beach Boys,43,44,43,4,3130749e-d314-49f6-bd3c-a903c8853611
Time Is Tight,1969-03-29,Booker T. & The MG's,44,78,44,3,66066d9c-81b1-45ed-be98-cc5c164e4e3a
Sophisticated Cissy,1969-03-29,The Meters,45,34,34,8,86055820-4aed-4809-9487-3820e6e8aa4f
There'll Come A Time,1969-03-29,Betty Everett,46,38,26,11,dbca1723-d584-4ceb-90e1-d46c15547907
I Don't Know Why,1969-03-29,Stevie Wonder,47,39,39,7,fd88395d-137a-4139-ae22-ebe3b7a1300d
A Lover's Question,1969-03-29,Otis Redding,48,48,48,5,ebd921eb-4e48-45ae-a9d0-1fea0b12c4d3
When He Touches Me (Nothing Else Matters),1969-03-29,Peaches & Herb,50,57,50,5,68585da4-d2cd-4d33-a024-9f0537455a49
Memories,1969-03-29,Elvis Presley,52,67,52,2,2160dbf3-4c0b-4e2b-b609-2fc080ba3fc3
Gimme Gimme Good Lovin',1969-03-29,Crazy Elephant,53,58,53,5,82ecee21-bc14-4745-9e4f-0d0a01db336c
Don't Touch Me,1969-03-29,Bettye Swann,54,61,54,4,07a4ef29-961c-4933-ab11-460e12bec6ab
I Like What You're Doing (To Me),1969-03-29,Carla Thomas,55,63,55,7,f20b6df5-10c6-4227-bc0a-cff1043b0b14
Tear Drop City,1969-03-29,The Monkees,58,56,56,6,b469c7cd-df14-4084-a0ff-fd9761350607
Lovin' Things,1969-03-29,The Grass Roots,59,50,49,7,da8ff273-b643-4ff0-a5b9-f07f55b62e80
The Way It Used To Be,1969-03-29,Engelbert Humperdinck,60,65,60,5,e18a9747-055a-4229-bc4a-6aef79245b5a
Sweet Cherry Wine,1969-03-29,Tommy James And The Shondells,61,86,61,2,93a4324a-13f2-4983-a113-6eb6cccbaab7
First Of May,1969-03-29,Bee Gees,62,82,62,2,1579f5ec-b81b-40bc-b6bc-3af4ab2499d8
Playgirl,1969-03-29,Thee Prophets,63,68,63,4,c54dce1c-0bf3-4a25-9a39-69785655dae2
Don't Forget About Me,1969-03-29,Dusty Springfield,64,64,64,5,6a6d9c45-01bd-40b1-96a2-3101a3476327
These Are Not My People,1969-03-29,Johnny Rivers,65,55,55,6,c4830bae-af8b-48e4-b179-5ddf8cb0edd9
Will You Be Staying After Sunday,1969-03-29,The Peppermint Rainbow,67,74,67,7,b3eeebb8-36b8-4646-9fd7-4c919c02eabb
Shotgun,1969-03-29,Vanilla Fudge,68,72,68,4,976c82f6-8126-4bd2-8f16-4522ff93230d
My Way,1969-03-29,Frank Sinatra,69,,69,1,3a18b9ae-a239-4dc6-a5fb-0cd5c38ef709
Hawaii Five-O,1969-03-29,The Ventures,70,92,70,4,147ac930-8e4f-4b5c-87d1-a1e96dee486f
It's Only Love,1969-03-29,B.J. Thomas,71,84,71,2,27eff588-cda0-431e-8993-09713a808b4a
Mini-Skirt Minnie,1969-03-29,Wilson Pickett,76,,76,1,892b0b7b-c2db-45e0-b597-bf791a8d7620
Mercy,1969-03-29,Ohio Express,77,,77,1,2535b891-ff50-44ca-8965-36e200a75853
In The Still Of The Night,1969-03-29,Paul Anka,78,85,78,2,de192a35-6e0a-4d27-a548-bb47ce9f4807
Wishful Sinful,1969-03-29,The Doors,79,,79,1,041b0a21-7f88-40bf-ba7d-0dc0145806b2
Tracks Of My Tears,1969-03-29,Aretha Franklin,80,91,80,3,ebff964a-17c1-44b5-84b9-32da30d091ac
Ice Cream Song,1969-03-29,The Dynamics,81,87,81,2,433e88bf-ee63-47a7-a7ce-31fc676666eb
Goodbye Columbus,1969-03-29,The Association,82,80,80,3,f8d40991-57a4-419a-bc4a-f979f6ff4e6f
Nothing But A Heartache,1969-03-29,The Flirtations,83,88,83,4,bbfcd995-ed0b-4082-8a87-701e8b17e6c9
Time Was,1969-03-29,Canned Heat,84,93,84,3,2a92a680-15a2-4f82-9fe1-5b75db07dc43
Kick Out The Jams,1969-03-29,MC5,85,90,85,3,a31347cb-227a-483e-b4af-57fbbc867bd2
There Never Was A Time,1969-03-29,Jeannie C. Riley,86,,86,1,220d914b-8a7e-4b22-8e1c-f5fff66f8a57
Hello It's Me,1969-03-29,Nazz,87,79,71,7,413b276c-2fd9-4b8a-bb06-d51aa5c029fc
Foolish Fool,1969-03-29,Dee Dee Warwick,88,96,88,2,3d0d9a9f-65ff-4777-beaa-8907fa81e9ba
Give It Away,1969-03-29,The Chi-lites,89,99,89,4,28d256cf-5ba0-41e6-a5b5-2252928d79a5
Sing A Simple Song,1969-03-29,Sly & The Family Stone,90,89,89,4,c82dac0f-186a-40b8-a3ed-d9aac1f96d4a
The Wedding Cake,1969-03-29,Connie Francis,91,98,91,4,a5a45b2b-214f-48b3-b093-a39ba8566cce
Hallways Of My Mind,1969-03-29,The Dells,92,94,92,4,6f0782ac-96b6-4ef0-8ab8-2cb8c909cb95
Born Again,1969-03-29,Sam & Dave,93,97,93,2,6558b607-7a86-4f23-8631-55ceb0c16d4f
Good Times Bad Times,1969-03-29,Led Zeppelin,94,,94,1,9701459f-5204-481d-b30e-e4e0a6b936e4
One Eye Open,1969-03-29,The Maskman & The Agents,95,,95,1,4cd4e470-146a-4865-a160-20eb74006f24
Dizzy,1969-04-05,Tommy Roe,1,1,1,10,676f08cb-f1b7-40cf-95de-e24d3832074a
Aquarius/Let The Sunshine In (The Flesh Failures),1969-04-05,The 5th Dimension,2,4,2,5,1b5639e5-d01c-4136-9169-f0885435430c
Time Of The Season,1969-04-05,The Zombies,3,3,3,9,1ee0817e-bd98-4231-a019-d0a7c8769aab
You've Made Me So Very Happy,1969-04-05,"Blood, Sweat & Tears",4,12,4,6,20515fca-d04e-4ab0-b49b-8105081742c2
Galveston,1969-04-05,Glen Campbell,5,8,5,6,df061e74-9597-4067-a1bd-e0607be92705
"Run Away Child, Running Wild",1969-04-05,The Temptations,6,6,6,8,d7565b35-9af2-455a-af82-88e165b6578c
Only The Strong Survive,1969-04-05,Jerry Butler,7,10,7,6,d695aea3-2aef-486b-8bfd-5d99095294f2
Traces,1969-04-05,Classics IV Featuring Dennis Yost,8,2,2,9,2238e88c-f339-4b31-88cf-c10354a5d6bc
My Whole World Ended (The Moment You Left Me),1969-04-05,David Ruffin,9,9,9,8,1ef08363-1a48-4e14-ac31-9a3dc7a01ba6
Proud Mary,1969-04-05,Creedence Clearwater Revival,10,5,2,11,595f1216-6c8a-490d-bf5b-2729f2f1f9d7
Rock Me,1969-04-05,Steppenwolf,11,15,11,6,c21f8683-b8c1-44f4-aa2d-12cdeab76639
Indian Giver,1969-04-05,1910 Fruitgum Co.,12,7,5,11,cefb77f6-039e-4419-a2fd-e2daa4b202fe
Twenty-Five Miles,1969-04-05,Edwin Starr,13,17,13,8,4eda653a-f2c0-4eec-a567-cc3e4c5de1cf
It's Your Thing,1969-04-05,The Isley Brothers,14,26,14,4,5535db28-9edb-4b07-ab78-bda6e1830449
Build Me Up Buttercup,1969-04-05,The Foundations,16,11,3,14,4e2d8fe2-9ae3-45aa-941c-83c8e617b7ba
This Girl's In Love With You,1969-04-05,Dionne Warwick,17,13,7,10,396df6d3-d03d-4c14-8daf-95445f361fc1
